id,grCode,name,art,rohgewicht,garverlust,nettogewicht,wa,zutaten,zubereitung,lastUpdate
b13de8bd-1afe-4ce8-bccf-d15de7fd4cf6,GR001,GR Wok Mischung,Grundrezeptur,4.5,0,4.5,132,"[{""type"":""rm"",""code"":""37158"",""name"":""Gemüsemischung Nooch 2 - BTL à 4kg ( Bestellung bis 8.30 Uhr )"",""gewicht"":4,""unitCost"":33,""cost"":132,""allergie"":"""",""zubereitung"":""""},{""type"":""mep"",""code"":""MEP010"",""name"":""Peperoni gelb/rot - Wokmischung"",""gewicht"":0.4,""unitCost"":0,""cost"":0,""allergie"":"""",""zubereitung"":""""}]",,2026-04-05T20:07:15.826Z
64f152f1-311c-4c99-bc59-e0b6b7a26767,GR300,GR Biang Biang Sauce,Grundrezeptur,0,0,0,0,[],,2026-04-26T18:11:51.336Z
52e39623-f477-479c-a324-08f0eee48fca,GR301,GR Biang Biang Kräuter,Grundrezeptur,0,0,0,0,[],,2026-04-26T18:11:51.787Z
ada1891f-f0be-4735-818f-b68555a3d8b2,GR303,GR Aroma-Öl,Grundrezeptur,0,0,0,0,[],,2026-04-26T18:11:52.089Z
2e9b75aa-7109-4b7a-b009-cf96747b0546,GR051,GR Sesam - Black & White,Grundrezeptur,0,0,0,0,[],,2026-04-26T18:11:52.569Z
48602efa-7e2a-4949-a3dc-7a85fa8de536,GR055,GR Sesam Schwarz&Weiss,Grundrezeptur,2,0,2,13.5,"[{""type"":""rm"",""code"":""4138"",""name"":""ASIA CUISINE Sesamsamen weiss KUKI geröstet / BTL à 1kg"",""gewicht"":1,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":6.4,""cost"":6.4,""allergie"":"""",""zubereitung"":"""",""isDeko"":false},{""type"":""rm"",""code"":""4139"",""name"":""ASIA CUISINE Sesamsamen schwarz KUKI geröstet / BTL à 1kg"",""gewicht"":1,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":7.1,""cost"":7.1,""allergie"":"""",""zubereitung"":"""",""isDeko"":false}]",,2026-04-26T18:38:52.742Z
a9b3dc0d-d175-4292-ba7f-fb78ce782400,GR050,GR Nooch Garnitur,Grundrezeptur,0,0,0,1.06,"[{""type"":""mep"",""code"":""MEP011"",""name"":""Soja Sprossen"",""gewicht"":0.02,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":7.6499999999999995,""cost"":0.153,""allergie"":"""",""zubereitung"":"""",""isDeko"":false},{""type"":""mep"",""code"":""MEP007"",""name"":""Peperoncini"",""gewicht"":0.03,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":16.59,""cost"":0.498,""allergie"":"""",""zubereitung"":"""",""isDeko"":false},{""type"":""mep"",""code"":""MEP003"",""name"":""Limetten"",""gewicht"":0.02,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":9.295,""cost"":0.186,""allergie"":"""",""zubereitung"":"""",""isDeko"":false},{""type"":""mep"",""code"":""MEP005"",""name"":""Koriander"",""gewicht"":0.01,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":22.5,""cost"":0.225,""allergie"":"""",""zubereitung"":"""",""isDeko"":false}]",,2026-04-28T19:23:04.245Z
